Time(s),Kn,Chamber Pressure(psi),Thrust(N),Propellant Mass(G1;lb),Mass Flow(G1;lb/s),Mass Flux(G1;lb/(in^2*s)),Nozzle Exit Pressure(psi),Change in Throat Diameter(in)
0,161.11111,263.12963,0,14.87535,0.0,0.0,0.0,0.0
0.03,161.67841,264.50814,1718.5577,14.87535,0.0,0.51287,14.75849,0.0
0.06,162.24597,265.88961,1728.7169,14.82388,1.71547,0.51099,14.83557,0.0
0.09,162.81376,267.27403,1738.8978,14.77215,1.72445,0.50913,14.91282,0.0
0.12,163.3818,268.66139,1749.10032,14.72015,1.73344,0.50728,14.99023,0.0
0.15,163.95007,270.05168,1759.32433,14.66787,1.74246,0.50544,15.0678,0.0
0.18,164.51858,271.44488,1769.56976,14.61533,1.7515,0.50361,15.14553,0.0
0.21,165.0873,272.84097,1779.83649,14.56251,1.76055,0.50179,15.22343,0.0
0.24,165.65625,274.23995,1790.12443,14.50942,1.76962,0.49999,15.30149,0.0
0.27,166.22542,275.6418,1800.43347,14.45606,1.77872,0.49819,15.3797,0.0
0.3,166.79479,277.0465,1810.76351,14.40243,1.78783,0.49641,15.45808,0.0
0.33,167.36437,278.45404,1821.11445,14.34852,1.79696,0.49463,15.53662,0.0
0.36,167.93414,279.86442,1831.48619,14.29433,1.8061,0.49287,15.61531,0.0
0.39,168.50412,281.2776,1841.87862,14.23988,1.81527,0.49112,15.69416,0.0
0.42,169.07428,282.69359,1852.29163,14.18514,1.82446,0.48937,15.77317,0.0
0.45,169.64463,284.11236,1862.72514,14.13013,1.83366,0.48764,15.85233,0.0
0.48,170.21516,285.53391,1873.17902,14.07485,1.84288,0.48592,15.93164,0.0
0.51,170.78586,286.95821,1883.65317,14.01928,1.85212,0.48421,16.01111,0.0
0.54,171.35673,288.38525,1894.14749,13.96344,1.86138,0.48251,16.09074,0.0
0.57,171.92777,289.81502,1904.66187,13.90732,1.87065,0.48081,16.17051,0.0
0.6,172.49896,291.2475,1915.19621,13.85092,1.87995,0.47913,16.25044,0.0
0.63,173.07031,292.68268,1925.75039,13.79424,1.88926,0.47746,16.33052,0.0
0.66,173.64181,294.12055,1936.3243,13.73729,1.89858,0.4758,16.41074,0.0
0.69,174.21346,295.56109,1946.91785,13.68005,1.90793,0.47414,16.49112,0.0
0.72,174.78525,297.00427,1957.53091,13.62253,1.91729,0.4725,16.57164,0.0
0.75,175.35716,298.4501,1968.16339,13.56473,1.92668,0.47087,16.65232,0.0
0.78,175.92921,299.89856,1978.81516,13.50665,1.93607,0.46924,16.73313,0.0
0.81,176.50139,301.34962,1989.48612,13.44828,1.94549,0.46762,16.8141,0.0
0.84,177.07368,302.80328,2000.17616,13.38964,1.95492,0.46602,16.8952,0.0
